strategy,date,action,basket_drawdown_from_1y_high,st_gain,lt_gain,portfolio_value
weekly_gate_15pct,2025-11-28,gld_to_basket,-0.1286710181488927,144868.92252569646,0.0,4124577.602112871
weekly_gate_15pct,2025-12-12,basket_to_gld,-0.15102783647312634,-105829.63959116582,0.0,4014729.2145591835
weekly_gate_15pct,2025-12-19,gld_to_basket,-0.13048522703139098,36346.0362903825,0.0,4047024.175598717
weekly_gate_15pct,2026-03-27,basket_to_gld,-0.15518371178294055,-98450.48512870353,0.0,3364149.731532312
weekly_gate_15pct,2026-04-02,gld_to_basket,-0.10082643642563427,119331.11248556757,0.0,3479997.3631738615
weekly_gate_20pct,2018-10-26,basket_to_gld,-0.2669094064959706,0.0,375523.8496819954,653595.7596723133
weekly_gate_20pct,2018-11-02,gld_to_basket,-0.18344614038987084,-671.6477008633083,0.0,652271.1878594786
weekly_gate_20pct,2018-11-16,basket_to_gld,-0.23171095610248882,-38554.40557432349,0.0,613103.06550287
weekly_gate_20pct,2019-02-15,gld_to_basket,-0.15658910165124806,40251.39923198649,0.0,546661.3513523598
weekly_gate_20pct,2020-03-13,basket_to_gld,-0.22721549456050927,0.0,110126.16696692351,641261.5119489237
weekly_gate_20pct,2020-03-27,gld_to_basket,-0.19962586850862207,40145.98404507327,0.0,680726.088498003
weekly_gate_20pct,2020-04-03,basket_to_gld,-0.22932214899341086,-25256.979282528977,0.0,654813.6401062586
weekly_gate_20pct,2020-04-09,gld_to_basket,-0.15089677310116956,25909.467014163383,0.0,680042.3840133016
weekly_gate_20pct,2022-01-21,basket_to_gld,-0.20756691077352563,0.0,934453.0187079499,1579553.676053326
weekly_gate_20pct,2022-02-04,gld_to_basket,-0.18034608173730982,-20587.983075649943,0.0,1557406.7272846983
weekly_gate_20pct,2022-02-11,basket_to_gld,-0.203193500822486,-43411.888104879996,0.0,1512480.8443406385
weekly_gate_20pct,2022-02-25,gld_to_basket,-0.18306766737129776,23843.310971808154,0.0,1534787.8311571341
weekly_gate_20pct,2022-03-04,basket_to_gld,-0.23413530172983743,-95941.8309803775,0.0,1437407.1541765798
weekly_gate_20pct,2022-03-18,gld_to_basket,-0.1819152555162471,-34276.07073081401,0.0,1401727.95236232
weekly_gate_20pct,2022-04-08,basket_to_gld,-0.2604050209267508,-134486.43174454058,0.0,1265974.2790971615
weekly_gate_20pct,2023-03-17,gld_to_basket,-0.14214405466166113,13219.873834911152,0.0,1055210.2759155135
weekly_gate_20pct,2024-04-19,basket_to_gld,-0.2339379697246584,0.0,1369575.8645589466,2418528.186632045
weekly_gate_20pct,2024-04-26,gld_to_basket,-0.13590331283930168,-48254.61801052606,0.0,2367903.2950528977
weekly_gate_20pct,2024-08-02,basket_to_gld,-0.22468581721913494,50475.24269716116,0.0,2415960.159212309
weekly_gate_20pct,2024-08-16,gld_to_basket,-0.1258793511272308,71297.40586951515,0.0,2484770.307516742
weekly_gate_20pct,2024-09-06,basket_to_gld,-0.2783695223036615,-433467.67979449825,0.0,2049251.3250945215
weekly_gate_20pct,2024-09-13,gld_to_basket,-0.17012337048891246,71527.76222728705,0.0,2118658.3082344867
weekly_gate_20pct,2025-03-07,basket_to_gld,-0.2451815851426271,-161272.21405350883,0.0,1620202.48278604
weekly_gate_20pct,2025-05-16,gld_to_basket,-0.1140608817954527,156049.74976120354,0.0,1774475.9803146964
weekly_gate_25pct,2018-10-26,basket_to_gld,-0.2669094064959706,0.0,375523.8496819954,653595.7596723133
weekly_gate_25pct,2018-11-02,gld_to_basket,-0.18344614038987084,-671.6477008633083,0.0,652271.1878594786
weekly_gate_25pct,2018-11-23,basket_to_gld,-0.2808778375699491,-77829.39007251535,0.0,573867.3559891763
weekly_gate_25pct,2018-11-30,gld_to_basket,-0.229099247404296,-1140.0798469277797,0.0,572154.5488661063
weekly_gate_25pct,2018-12-07,basket_to_gld,-0.2813607424161846,-38787.939953247434,0.0,532833.242303946
weekly_gate_25pct,2019-01-18,gld_to_basket,-0.24301818294970923,11164.040653158096,0.0,460655.61420646484
weekly_gate_25pct,2020-03-20,basket_to_gld,-0.3277361061547306,0.0,77668.29589712096,534084.1111971597
weekly_gate_25pct,2020-03-27,gld_to_basket,-0.19962586850862207,46276.359686743235,0.0,579780.1104130191
weekly_gate_25pct,2022-03-11,basket_to_gld,-0.2674645929248445,0.0,772646.50180026,1324082.7405591083
weekly_gate_25pct,2022-03-18,gld_to_basket,-0.1819152555162471,-41420.013667979045,0.0,1281380.064164238
weekly_gate_25pct,2022-04-08,basket_to_gld,-0.2604050209267508,-122939.85594538203,0.0,1157281.7680106373
weekly_gate_25pct,2023-02-03,gld_to_basket,-0.23113223943211014,-41574.90631479246,0.0,899422.8321649157
weekly_gate_25pct,2024-09-06,basket_to_gld,-0.2783695223036615,0.0,1561001.6548640598,2457964.0625419463
weekly_gate_25pct,2024-09-13,gld_to_basket,-0.17012337048891246,85793.61002516747,0.0,2541213.914894547
weekly_gate_25pct,2025-03-28,basket_to_gld,-0.2787786361996345,-266570.7814877962,0.0,1767648.2108352243
weekly_gate_25pct,2025-05-02,gld_to_basket,-0.24295729448386338,86621.44280016585,0.0,1852415.3839817548
monthly_gate_10pct,2018-04-30,basket_to_gld,-0.11461058816755654,0.0,452342.58370007476,730337.6749563747
monthly_gate_10pct,2018-05-31,gld_to_basket,-0.021312806693371544,-8734.261236866703,0.0,720881.8103057885
monthly_gate_10pct,2018-10-31,basket_to_gld,-0.2341110822796829,-111582.41083817359,0.0,608690.1000681473
monthly_gate_10pct,2019-03-29,gld_to_basket,-0.08329084427944211,30044.51107931492,0.0,533828.6886712931
monthly_gate_10pct,2019-05-31,basket_to_gld,-0.19231829490302144,-63490.12730194803,0.0,469868.2228079757
monthly_gate_10pct,2019-06-28,gld_to_basket,-0.09515786494679879,37603.15410672879,0.0,506963.9055377898
monthly_gate_10pct,2020-02-28,basket_to_gld,-0.16419663652043703,109598.68484106811,0.0,614298.3321423258
monthly_gate_10pct,2020-04-30,gld_to_basket,-0.09289539652297374,43139.15140496567,0.0,656780.0460637442
monthly_gate_10pct,2020-10-30,basket_to_gld,-0.1121609172928616,197713.1701875038,0.0,853638.7230349968
monthly_gate_10pct,2020-11-30,gld_to_basket,0.0,-46170.12559241825,0.0,806661.1288451359
monthly_gate_10pct,2022-01-31,basket_to_gld,-0.19504573834721817,0.0,329457.14518885,987314.193929608
monthly_gate_10pct,2023-03-31,gld_to_basket,-0.04679420740699891,0.0,79143.39053802565,957445.2600033685
monthly_gate_10pct,2023-10-31,basket_to_gld,-0.12678844096527864,268264.9725955484,0.0,1224484.522366318
monthly_gate_10pct,2023-11-30,gld_to_basket,-0.04107675908542763,30996.26526120375,0.0,1254225.306839894
monthly_gate_10pct,2024-04-30,basket_to_gld,-0.14668659342110735,711513.8756400724,0.0,1805221.0684848563
monthly_gate_10pct,2024-05-31,gld_to_basket,-0.05102515150408993,29225.10374879511,0.0,1832611.726061418
