strategy_id,size_transform,earn_transform,momentum_power,top_n,cadence,return_mode,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
size=equal|earn=sqrt|mom=0.0|top=7|monthly|overnight,equal,sqrt,0.0,7,monthly,overnight,0.34168233387746993,1.914665873137877,-0.1719679039237746,-0.15723577128214405,5.2679098262175925,5225512.855406335
size=equal|earn=sqrt|mom=0.0|top=7|monthly|intraday,equal,sqrt,0.0,7,monthly,intraday,0.07156617473416715,0.44125089567423553,-0.40071176593416413,-0.3905161594416122,5.2679098262175925,555307.8743284716
size=equal|earn=sqrt|mom=0.0|top=10|weekly|close,equal,sqrt,0.0,10,weekly,close,0.4371735739415097,1.6356675254744557,-0.2704993768832269,-0.20627719817708245,10.574254455983363,10372768.979138605
size=equal|earn=sqrt|mom=0.0|top=10|weekly|overnight,equal,sqrt,0.0,10,weekly,overnight,0.3210542566484953,1.9478683303274862,-0.1703170408773117,-0.14547351209557136,10.574254455983363,4477394.6106649535
size=equal|earn=sqrt|mom=0.0|top=10|weekly|intraday,equal,sqrt,0.0,10,weekly,intraday,0.07524923534122263,0.4732648299071444,-0.3412058651895482,-0.334516286286752,10.574254455983363,574637.4171948407
size=equal|earn=sqrt|mom=0.0|top=10|monthly|close,equal,sqrt,0.0,10,monthly,close,0.406888249508345,1.5088224656124374,-0.3120102217959567,-0.18784189751613956,5.2868696027031925,8387942.275133671
size=equal|earn=sqrt|mom=0.0|top=10|monthly|overnight,equal,sqrt,0.0,10,monthly,overnight,0.3274217576152798,1.8854531751405814,-0.18227914581910054,-0.1635936017859524,5.2868696027031925,4697319.871330011
size=equal|earn=sqrt|mom=0.0|top=10|monthly|intraday,equal,sqrt,0.0,10,monthly,intraday,0.05414169692061832,0.3634299646644286,-0.40445521864394596,-0.3957050967147844,5.2868696027031925,471554.1505288656
size=equal|earn=sqrt|mom=0.0|top=12|weekly|close,equal,sqrt,0.0,12,weekly,close,0.43172030355156,1.6230512552824425,-0.2704993768832268,-0.20627719817708234,10.606910416433323,9986887.919107107
size=equal|earn=sqrt|mom=0.0|top=12|weekly|overnight,equal,sqrt,0.0,12,weekly,overnight,0.3178183866811781,1.9370040771685357,-0.17015712376900238,-0.14530880652530898,10.606910416433323,4369221.250686882
